lat,lng
31.289317,121.498510
31.342570,121.460905
31.132883,121.480387
31.203175,121.515078
31.128925,121.502548
31.120655,121.440198
31.352872,121.491077
31.168040,121.476833
31.129310,121.363663
31.050600,121.741020
31.262440,121.473422
31.262613,121.473283
31.263105,121.472667
31.348812,121.426638
31.233362,121.482008
31.204125,121.620745
31.321715,121.524422
31.224692,121.342285
31.224262,121.343580
31.224510,121.344343
31.225097,121.344770
31.225510,121.344787
31.281890,121.525870
31.348990,121.349738
31.335963,121.467820
31.284440,121.517412
31.305663,121.573717
31.251173,121.431015
31.140603,121.648810
31.362012,121.407435
31.203773,121.399675
31.262112,121.461692
31.256623,121.459175
31.041217,121.829410
31.168230,121.440788
31.166757,121.441218
31.165302,121.441965
31.161412,121.444113
31.160717,121.444445
31.164022,121.442677
31.160717,121.444445
31.162747,121.443445
31.160717,121.444445
31.160717,121.444445
31.175767,121.260607
31.208292,121.382280
31.193498,121.767102
31.235963,121.425612
31.301300,121.535863
30.829390,121.172267
31.296623,121.508360
30.970865,121.836977
31.382843,121.432815
31.340968,121.434437
31.235112,121.301000
31.019017,121.412922
31.337638,121.465098
31.336327,121.447042
31.130197,121.375217
31.141975,121.354227
31.161727,121.350923
31.348612,121.490497
30.992642,121.709758
31.337140,121.452518
31.381108,121.424393
31.284530,121.348658
30.917918,121.465322
31.227035,121.437220
31.338072,121.459117
31.363562,121.410085
31.247463,121.404565
30.989657,121.557088
31.189743,121.511937
31.301627,121.397597
31.369337,121.432892
31.251047,121.463582
31.155103,121.299190
31.128258,121.414228
31.044250,121.462810
31.236147,121.211432
31.235722,121.404528
31.217107,121.438408
31.091952,121.697245
31.202190,121.448488
31.193235,121.646863
31.276492,121.357672
31.346155,121.441797
31.220415,121.358152
31.186655,121.530068
31.295955,121.152772
31.240317,121.496902
31.319532,121.524097
31.108578,121.449657
31.128200,121.414415
31.247948,121.404618
31.346653,121.441500
31.246882,121.409525
31.356578,121.402197
31.329222,121.867333
31.352512,121.489923
31.309018,121.445322
31.120390,121.417205
30.900570,121.819600
31.203925,121.400308
31.477463,121.321765
31.338235,121.458833
31.338008,121.465548
31.361158,121.417303
31.335965,121.474668
31.333457,121.532402
31.328288,121.538002
31.209403,121.278082
31.273497,121.636745
31.098555,121.374800
31.035720,121.376600
31.160880,121.544022
31.129127,121.294048
31.350862,121.364978
31.189055,121.774705
31.095165,121.580058
31.366788,121.491135
30.922785,121.526928
31.132075,121.396832
31.246558,121.394257
31.182187,121.443808
31.216200,121.427813
31.222770,121.325285
31.147587,121.488297
31.204578,121.455843
31.205942,121.487278
31.072965,121.485860
31.362397,121.409360
31.332118,121.418142
31.199690,121.322493
31.052100,121.600137
31.223313,121.725975
31.202408,121.396293
31.248422,121.285752
31.200418,121.432187
31.335355,121.442708
31.147140,121.429583
31.345342,121.483415
30.975780,121.764320
31.290642,121.421238
31.000590,121.437245
31.172632,121.393400
31.100407,121.496873
31.290330,121.338540
31.355068,121.403940
31.444488,121.395228
31.336518,121.472195
31.336147,121.476235
31.082722,121.600682
31.317500,121.458552
31.169738,121.481778
31.227383,121.442917
31.223192,121.306668
31.341390,121.446837
31.338157,121.458985
31.345938,121.442653
31.233255,121.456165
31.324830,121.366247
31.390615,121.493713
30.956640,121.489182
31.276758,121.357918
31.258432,121.426063
31.247887,121.449787
31.203903,121.440075
31.148193,121.522878
30.989223,121.737913
31.052040,121.740277
31.189328,121.450438
31.286098,121.435080
31.148637,121.344137
31.288633,121.521263
31.157342,121.488982
31.192537,121.426147
31.340190,121.448173
31.112945,121.447343
31.332060,121.457580
31.280048,121.520900
31.362135,121.409440
31.350583,121.422873
31.108643,121.717237
31.357707,121.401120
31.213033,121.292445
31.225570,121.449547
31.240510,121.431283
31.183218,121.426705
31.234662,121.481582
31.211128,121.496983
31.253630,121.372965
31.334647,121.476417
31.302775,121.476690
31.293070,121.455058
31.187390,121.513695
31.246150,121.466703
31.274123,121.450418
31.328088,121.528597
